,Ortsname,Art,Tiere 2017,Einwohner 2017,Anteil 2017
12774,Ponthaux,Schweine,995,723,0.73
12507,Greppen,Schweine,993,1052,1.06
12817,Tafers,Schweine,989,3330,3.37
12885,Aeschi (SO),Schweine,987,1213,1.23
13862,Baulmes,Schweine,984,1057,1.07
12747,La Roche,Schweine,979,1644,1.68
12279,Niederbipp,Schweine,976,4647,4.76
13434,Laufenburg,Schweine,976,3569,3.66
12776,Prez-vers-Noréaz,Schweine,972,1043,1.07
12341,Oberbalm,Schweine,970,874,0.9
14296,Bourrignon,Schweine,970,267,0.28
12345,Zollikofen,Schweine,965,10235,10.61
13421,Schmiedrued,Schweine,964,1176,1.22
13077,Hallau,Schweine,961,2118,2.2
12738,Grandvillard,Schweine,960,812,0.85
12332,Trachselwald,Schweine,954,971,1.02
12256,Obersteckholz,Schweine,952,414,0.43
13878,Valeyres-sous-Rances,Schweine,946,625,0.66
12085,Fehraltorf,Schweine,945,6361,6.73
12058,Wald (ZH),Schweine,942,9645,10.24
13111,Schwende,Schweine,938,2193,2.34
12293,Aefligen,Schweine,937,1089,1.16
13604,Münchwilen (TG),Schweine,931,5377,5.78
13363,Bremgarten (AG),Schweine,931,7742,8.32
13453,Hendschiken,Schweine,928,1208,1.3
13125,Berg (SG),Schweine,927,843,0.91
12036,Niederweningen,Schweine,923,2930,3.17
12356,Münchenbuchsee,Schweine,916,10122,11.05
12049,Bäretswil,Schweine,912,5060,5.55
13566,Neunforn,Schweine,911,995,1.09
12712,Le Châtelard,Schweine,908,385,0.42
14242,Val-de-Ruz,Schweine,899,16832,18.72
13509,Murgenthal,Schweine,899,2920,3.25
12366,Häutligen,Schweine,897,255,0.28
13782,Moudon,Schweine,896,6114,6.82
13546,Dozwil,Schweine,894,728,0.81
12338,Kirchlindach,Schweine,887,3029,3.41
12281,Oberbipp,Schweine,887,1701,1.92
12632,Alpthal,Schweine,886,612,0.69
13575,Hüttwilen,Schweine,886,1705,1.92
12758,Belfaux,Schweine,885,3348,3.78
12413,Wald (BE),Schweine,882,1183,1.34
12795,Kleinbösingen,Schweine,872,641,0.74
12633,Arth,Schweine,871,11735,13.47
14329,Soubey,Schweine,865,134,0.15
13592,Tägerwilen,Schweine,861,4524,5.25
12071,Horgen,Schweine,856,20291,23.7
13080,Wilchingen,Schweine,854,1731,2.03
13591,Münsterlingen,Schweine,851,3333,3.92
14145,Vouvry,Schweine,850,4052,4.77
13552,Romanshorn,Schweine,848,10803,12.74
13021,Rümlingen,Schweine,848,388,0.46
12618,Wollerau,Schweine,847,7102,8.38
14229,La Chaux-du-Milieu,Schweine,843,499,0.59
13431,Herznach,Schweine,840,1471,1.75
12685,Walchwil,Schweine,834,3626,4.35
12336,Bolligen,Schweine,826,6250,7.57
13947,Gimel,Schweine,823,1951,2.37
11990,Kleinandelfingen,Schweine,822,2067,2.51
12756,Autigny,Schweine,813,792,0.97
12026,Bachs,Schweine,804,605,0.75
12370,Landiswil,Schweine,804,624,0.78
12762,Cottens (FR),Schweine,801,1473,1.84
12515,Schwarzenberg,Schweine,796,1719,2.16
12089,Russikon,Schweine,788,4361,5.53
12216,Diessbach bei Büren,Schweine,784,992,1.27
12175,Tavannes,Schweine,780,3597,4.61
13126,Goldach,Schweine,776,9052,11.66
12299,Hellsau,Schweine,772,206,0.27
12753,Val-de-Charmey,Schweine,770,2435,3.16
12303,Kirchberg (BE),Schweine,764,5909,7.73
13500,Zuzgen,Schweine,762,873,1.15
12362,Bowil,Schweine,759,1388,1.83
12360,Arni (BE),Schweine,759,917,1.21
12386,Ferenbalm,Schweine,755,1262,1.67
12309,Rüdtligen-Alchenflüh,Schweine,753,2423,3.22
14228,Le Cerneux-Péquignot,Schweine,750,329,0.44
12622,Altendorf,Schweine,749,6907,9.22
13564,Hüttlingen,Schweine,742,840,1.13
12635,Ingenbohl,Schweine,742,8758,11.8
