,Ortsname,Art,Tiere 2017,Einwohner 2017,Anteil 2017
11739,Martigny-Combe,Ziegen,61,2305,37.79
11282,Centovalli,Ziegen,61,1183,19.39
11738,Martigny,Ziegen,60,17998,299.97
10138,Rain,Ziegen,60,2659,44.32
11688,Termen,Ziegen,60,891,14.85
11758,Riederalp,Ziegen,60,488,8.13
9906,Heimiswil,Ziegen,59,1589,26.93
10095,Oberried am Brienzersee,Ziegen,59,457,7.75
11236,Wigoltingen,Ziegen,59,2423,41.07
9951,Vechigen,Ziegen,59,5240,88.81
10012,Kirchdorf (BE),Ziegen,58,963,16.6
10151,Mauensee,Ziegen,58,1414,24.38
11694,Nendaz,Ziegen,58,6476,111.66
11112,Bottenwil,Ziegen,57,797,13.98
11052,Mettauertal,Ziegen,57,1933,33.91
10781,Gommiswald,Ziegen,57,5053,88.65
10261,Lungern,Ziegen,57,2129,37.35
10547,Bärschwil,Ziegen,57,817,14.33
11278,Vogorno,Ziegen,57,272,4.77
11776,Finhaut,Ziegen,57,419,7.35
10245,Morschach,Ziegen,57,1107,19.42
10180,Schötz,Ziegen,57,4272,74.95
10598,Bubendorf,Ziegen,56,4401,78.59
11397,Ropraz,Ziegen,56,439,7.84
11689,Zwischbergen,Ziegen,56,78,1.39
11713,Ayent,Ziegen,56,3935,70.27
10773,Amden,Ziegen,55,1793,32.6
11958,Haute-Ajoie,Ziegen,55,941,17.11
11768,Wiler (Lötschen),Ziegen,55,570,10.36
11488,Vaulion,Ziegen,55,492,8.95
10774,Benken (SG),Ziegen,54,2916,54.0
9977,Konolfingen,Ziegen,54,5280,97.78
11736,Isérables,Ziegen,54,830,15.37
10432,Châtel-Saint-Denis,Ziegen,53,6528,123.17
11817,Visp,Ziegen,53,7726,145.77
10755,Rüthi (SG),Ziegen,53,2305,43.49
10105,Schattenhalb,Ziegen,53,585,11.04
11405,Payerne,Ziegen,53,9486,178.98
10034,Fahrni,Ziegen,53,802,15.13
11727,Salgesch,Ziegen,53,1470,27.74
10266,Beckenried,Ziegen,52,3567,68.6
10181,Ufhusen,Ziegen,52,891,17.13
10711,Walzenhausen,Ziegen,52,2034,39.12
10857,Rossa,Ziegen,52,148,2.85
10204,Flüelen,Ziegen,52,2002,38.5
10890,Schluein,Ziegen,52,624,12.0
11014,Bözberg,Ziegen,52,1563,30.06
10067,Kandergrund,Ziegen,51,798,15.65
9767,Champoz,Ziegen,51,159,3.12
10225,Freienbach,Ziegen,51,16196,317.57
9847,Jens,Ziegen,51,676,13.25
9697,Russikon,Ziegen,51,4361,85.51
11725,Leukerbad,Ziegen,51,1433,28.1
10454,Holderbank (SO),Ziegen,50,664,13.28
10259,Giswil,Ziegen,50,3631,72.62
9747,Zürich,Ziegen,49,402762,8219.63
10081,Brienzwiler,Ziegen,49,493,10.06
10099,Unterseen,Ziegen,49,5757,117.49
10230,Altendorf,Ziegen,49,6907,140.96
10725,St. Gallen,Ziegen,49,75481,1540.43
9768,Corcelles (BE),Ziegen,48,203,4.23
10175,Menznau,Ziegen,48,2897,60.35
10166,Dagmersellen,Ziegen,48,5287,110.15
9615,Eglisau,Ziegen,47,5167,109.94
10888,Laax,Ziegen,47,1725,36.7
10024,Stocken-Höfen,Ziegen,47,992,21.11
10250,Sattel,Ziegen,47,1926,40.98
10236,Tuggen,Ziegen,47,3239,68.91
10075,Spiez,Ziegen,47,12713,270.49
9912,Koppigen,Ziegen,46,2103,45.72
10695,Stein (AR),Ziegen,45,1418,31.51
9969,Biglen,Ziegen,45,1749,38.87
11275,Ronco sopra Ascona,Ziegen,44,603,13.7
11539,Savigny,Ziegen,44,3312,75.27
10045,Steffisburg,Ziegen,44,15783,358.7
11029,Schmiedrued,Ziegen,44,1176,26.73
9808,Sutz-Lattrigen,Ziegen,44,1390,31.59
11769,Mörel-Filet,Ziegen,44,681,15.48
10046,Teuffenthal (BE),Ziegen,44,156,3.55
10702,Teufen (AR),Ziegen,44,6201,140.93
10557,Nunningen,Ziegen,44,1878,42.68
10437,Le Flon,Ziegen,43,1186,27.58
10914,Avers,Ziegen,43,168,3.91
